id,created,text,screen name,name,mention 1,mention 2,hashtag 1,hashtag 2,url 1,url 2,lat,lon,place name,place type
752998244867866624,Tue Jul 12 22:49:06 +0000 2016,"""No digan fútbol, digan Messi""",SebiiiBenitez,Seba Benitez #13D ✌,,,,,,,,,,
752998248084742144,Tue Jul 12 22:49:07 +0000 2016,"Foto2 lanjutan nih Messi pada saat liburan.
Leo &amp; Anto &lt;3

[Viva Barca]

Irgi_Wijaya1899",bmquc,^Mes Que Un Club^,,,,,,,,,,
752998253596176384,Tue Jul 12 22:49:08 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/UVujQNldcF,davidsduckedav1,davidsducked,,,,,http://wp.me/p7ylDY-2W,,,,,
752998265281515521,Tue Jul 12 22:49:11 +0000 2016,@sulo32s &gt; Bruma &gt; Messi,thesezerak,Sezer AK,sulo32s,,,,,,,,,
752998267751899136,Tue Jul 12 22:49:11 +0000 2016,"RT @infoleprosa: Mas fotos de Messi con el #TermoDeNewells
#MessiTieneLepra 🔴⚫️ https://t.co/GHlWEveThX",F_Iban,*,infoleprosa,,TermoDeNewells,MessiTieneLepra,,,,,,
752998268930519040,Tue Jul 12 22:49:12 +0000 2016,"- Messi gëzon të gjithë tifozët e Barcelonës

- Lexojeni:https://t.co/faeOMK1MmK https://t.co/8wXdDjf0dM",IsmooIniesta,IsmooHajdari,,,,,http://goo.gl/E47Amw,http://fb.me/2vKGjPdRH,,,,
752998269484199937,Tue Jul 12 22:49:12 +0000 2016,RT @alimiagat: Ronaldo met des post instagram en mode Messi le follow,sahby_mjb,SahbyTounsi,alimiagat,,,,,,,,,
752998270000128000,Tue Jul 12 22:49:12 +0000 2016,"RT @Infosmessi_: Goals + Assists in 2016:

Messi 56
Suarez 50 https://t.co/QXbHInyxNU",KhalidKjm,khalid,Infosmessi_,,,,,,,,,
752998273028395008,Tue Jul 12 22:49:12 +0000 2016,"RT @sport: #FCB🔴🔵| Técnicos de Hacienda piden al Barça que retire su campaña pro-Messi 

👉https://t.co/wJJQU5Hv1W https://t.co/RvnE309C3g",marc_andreu,Marc Andreu Poquet,sport,,FCB,,http://bit.ly/29ykNTZ,,,,,
752998277063270401,Tue Jul 12 22:49:13 +0000 2016,"RT @UberFootbalI: Highest Paid Players:

1. Ronaldo (21m)
2. Messi (20m)
3. Hulk (20m)
4. Neymar (19m)
5. Zlatan (16m)
6. Pellé (16m) https…",Iaamgeezyy,George,UberFootbalI,,,,,,,,,
752998282851389440,Tue Jul 12 22:49:15 +0000 2016,Apoyar a Messi es tan lamentable como haber votado al PP el 26J #YoNoSoyLeoMessi #HaciendaSomosTodos,noitadc,Noa Davila,,,YoNoSoyLeoMessi,HaciendaSomosTodos,,,,,,
752998288782139394,Tue Jul 12 22:49:16 +0000 2016,Falo merda já 🙄 https://t.co/eU6sWjxeDk,ronaldcastrosz,Castro,,,,,https://twitter.com/futeboiverdade/status/750791354628837376,,,,,
752998284474535936,Tue Jul 12 22:49:15 +0000 2016,Signed Lionel Messi shirt makes Afghan child’s dreams come... https://t.co/eV8DGTW0kz #LionelMessi,tatjapocke,Татьяна,,,LionelMessi,,http://dlvr.it/LnJmCQ,,,,,
752998292699619329,Tue Jul 12 22:49:17 +0000 2016,#Antonella et #Messi  des vacances bien mérites #king https://t.co/Yz4Ow9IBZg,BarcaLigaBBVA,LAUDE LAURENT,,,Antonella,Messi,http://fb.me/7Yt9lkLRm,,,,,
752998293303660545,Tue Jul 12 22:49:17 +0000 2016,"RT @socraticjuan: Love this picture of Messi.
He looks so serene. After carrying teams for so long, he needed this break from football http…",Pioche93,mam'$®,socraticjuan,,,,,,,,,
752998296050921472,Tue Jul 12 22:49:18 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/tgBSjF9xQr,mosheagantiche1,mosheagantiched,,,,,http://wp.me/p7ylDY-2W,,,,,
752998299171512320,Tue Jul 12 22:49:19 +0000 2016,"RT @HoyEnDeportes4: La mujer de Messi utiliza al Argentino de reposapies,es Messi el mayor calzonazos de la historia? https://t.co/O9oofHJI…",papeodin,mî păđřě əş åmûņîķę™,HoyEnDeportes4,,,,,,,,,
752998301646004224,Tue Jul 12 22:49:19 +0000 2016,"RT @ElChirincirco: MESSI, AVISTADO en las costas de PANAMÁ disfrazado de NAUFRAGO. ¿Está pensando OTRA VEZ en DEFRAUDAR? Lo DEBATIMOS. http…",JRIVAX,Jorge Rivas,ElChirincirco,,,,,,,,,
752998306075271168,Tue Jul 12 22:49:20 +0000 2016,Les footeux comme Bahebeck etc il doivent remercié les gars comme CR Messi Ibra etc parce que leurs salaire c'est grâce à eux,AfricanNiggaz,Ash Ketchum,,,,,,,,,"Colombes, France",city
752998306025005056,Tue Jul 12 22:49:20 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/FRu89BPHWV,jasondassodnja1,jasondassodn,,,,,http://wp.me/p7ylDY-2W,,,,,
752998310055731201,Tue Jul 12 22:49:21 +0000 2016,Por qué Messi debería al Barca esta harto de la prensa española por el caso de lo impuestos con la hacienda de cataluña,PascualinoFull,Pascualino Troisi,,,,,,,,,,
752998316024168448,Tue Jul 12 22:49:23 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/SG0jRXJHWI,ronaldyousandr1,ronaldyousand,,,,,http://wp.me/p7ylDY-2W,,,,,
752998326669377536,Tue Jul 12 22:49:25 +0000 2016,@chvdeportes y a quien le importa messi ?? Mejor decir como quedo la pierna de alexis. O como celebramos los chilenos !!,BenjaminGanga,Benjamín Ganga,chvdeportes,,,,,,,,,
752998328296738816,Tue Jul 12 22:49:26 +0000 2016,"Messi es la nueva Pantoja. Y el #TodosSomosLeoMessi es el nuevo «Luis, se fuerte».",PPGnova,Pepe Génova,,,TodosSomosLeoMessi,,,,,,,
752998329445867521,Tue Jul 12 22:49:26 +0000 2016,"RT @revistaproceso: Ronaldo y Messi, entre las celebridades que más ganan en el mundo: Forbes https://t.co/u5ha4ma2Ys",Rollonumber1,Rodolfo Montes Oca,revistaproceso,,,,http://ow.ly/DmN03029eom,,,,,
752998335129288704,Tue Jul 12 22:49:27 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/aE2CFyQgmm,sidneynehosidn1,sidneynehosid,,,,,http://wp.me/p7ylDY-2W,,,,,
752998336135884804,Tue Jul 12 22:49:28 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/k5dZYwsZqX,robinmaidnerob1,robinmaidner,,,,,http://wp.me/p7ylDY-2W,,,,,
752998336496623616,Tue Jul 12 22:49:28 +0000 2016,@BenjaMartinez11 @IndeBentancour cr7 tiene más goles que Messi,racionalogico,preguntas a chavista,BenjaMartinez11,IndeBentancour,,,,,,,,
752998338363031553,Tue Jul 12 22:49:28 +0000 2016,Antonella muestra en Instagram la foto más romántica de sus vacaciones con Messi https://t.co/1KfN9tsySN https://t.co/v8IGpwGmXl,fomichyovemili1,Nidia Hinijosa,,,,,http://bit.ly/29AS0nW,,,,,
752998347271770112,Tue Jul 12 22:49:30 +0000 2016,"Me recuerda mía tiempos, cuando les hacía wevadas a mis panas de barriada atrás de tv cable https://t.co/6gSvxseMwX",Jhonny1902,Jhonny Gómez S.,,,,,https://twitter.com/History_Futbol/status/752995542347558912,,,,,
752998353483526145,Tue Jul 12 22:49:32 +0000 2016,RT @FCBarcelona_es: Los empleados del FC Barcelona dan su apoyo a Messi https://t.co/DFF8m5Luc0 #TodosSomosLeoMessi https://t.co/vv78zJ4wAJ,normalasi44,norma castellanos,FCBarcelona_es,,TodosSomosLeoMessi,,http://ow.ly/6UD63028aBS,,,,,
752998357220622337,Tue Jul 12 22:49:33 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/A3Mq2YcFMH,ernestrainkins1,ernestrainkin,,,,,http://wp.me/p7ylDY-2W,,,,,
752998361234567168,Tue Jul 12 22:49:34 +0000 2016,Este es mejor https://t.co/g2MJOC3OUH,alfabriell,alfa,,,,,https://twitter.com/history_futbol/status/752995542347558912,,,,,
752998362115350533,Tue Jul 12 22:49:34 +0000 2016,RT @noseasmalotv: ¡Cristiano campeón! Como dice en la #tapaNSM ahora a Messi solo le falta que Higuaín fiche por el Barça... https://t.co/P…,Valecerro1922,Vale/2blea,noseasmalotv,,tapaNSM,,,,,,,
752998364896264192,Tue Jul 12 22:49:34 +0000 2016,RT @FraudetimoPerez: Si tu manejaras el dinero de Messi. Estarías dispuesto a dar el 56% de tus ingresos para alimentar parásitos? https://…,ramonone55,Ramon Mallorca,FraudetimoPerez,,,,https://twitter.com/latigoserrano/status/752519179962638336,,,,,
752998373607641088,Tue Jul 12 22:49:36 +0000 2016,RT @Sport_EN: The state lawyer that pursued Messi was a Real Madrid director under Florentino https://t.co/wlsfRep61c,IbetrayedXBL,Jason Scott,Sport_EN,,,,http://www.sport-english.com/en/noticias/barca/the-state-lawyer-who-pursued-messi-was-real-madrid-director-5254318,,,,,
752998373708304387,Tue Jul 12 22:49:36 +0000 2016,"RT @BarcaWorldwide: Eder scores and Ronaldo gets all the credit!
Higuaín does shit and Messi gets all the blame!

Smh.. https://t.co/JjOguU…",JordenRauda,Jorden Rauda,BarcaWorldwide,,,,,,,,,
752998378351493120,Tue Jul 12 22:49:38 +0000 2016,"RT @diegoborinsky: Messi en estado alfa, relajado, con su mujer, flotando en el mar, ¿pensando en su futuro? https://t.co/9cBBfwzrLY",rfailache,Román Failache,diegoborinsky,,,,,,,,,
752998380134105088,Tue Jul 12 22:49:38 +0000 2016,Aún es tema el terrible  cagon de Messi?,Beastiex,Milovan Stanojevic,,,,,,,,,,
752998383196004353,Tue Jul 12 22:49:39 +0000 2016,RT @ImMESS10nante: Las vacaciones de Messi... https://t.co/OtqIH9As0J,dediin_,Dedin,ImMESS10nante,,,,,,,,,
752998383384662016,Tue Jul 12 22:49:39 +0000 2016,"RT @Amine_Modric: On a même plus besoin de troller Messi.. 
Son idole le fait déjà. HAHAHAHAHA ! https://t.co/RWRm0mLj7v",Mouklremja,MOHA,Amine_Modric,,,,https://twitter.com/ronaldo_france/status/752919880723271680,,,,,
752998389894316032,Tue Jul 12 22:49:40 +0000 2016,"RT @EstebannLT: Los nuevos botines que estará usando Lionel Messi, a partir de la próxima temporada. https://t.co/J88jPc10SX",_dgonzz,DG7,EstebannLT,,,,,,,,,
752998391056130048,Tue Jul 12 22:49:41 +0000 2016,RT @Mateo_Alonso96: Imaginé mejor la película de Ronaldo. Desde luego no muestra nada sus orígenes. «Messi» es mucho mejor.,Nacht41,bollito☄,Mateo_Alonso96,,,,,,,,,
752998393543360512,Tue Jul 12 22:49:41 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/hpzGx0awuN,maryannmargum,maryannhernan,,,,,http://wp.me/p7ylDY-2W,,,,,
752998396714188800,Tue Jul 12 22:49:42 +0000 2016,RT @Mateo_Alonso96: La película «Ronaldo» es Ronaldo hablando de lo bueno que es Ronaldo. En «Messi» se ven a amigos y leyendas comentando…,Nacht41,bollito☄,Mateo_Alonso96,,,,,,,,,
752998398987493380,Tue Jul 12 22:49:43 +0000 2016,"RT @Sportags: Es un avión... Es un tiburón... No.

Es de otro planeta... Si.

Es... Leo Messi. https://t.co/SoiFukN3L7",Canaves_MA,MC,Sportags,,,,,,,,,
752998404045897729,Tue Jul 12 22:49:44 +0000 2016,"@lacapital el termo debe ser para mantener el agua helada, entre el termo, Messi y Martino helaron la seleccion",ROdolfoMonserra,Rody Monserrat,lacapital,,,,,,,,,
752998405396369408,Tue Jul 12 22:49:44 +0000 2016,RT @ImMESS10nante: Números de Messi y Cristiano en Copa América y Eurocopa... https://t.co/28nUGpQV00,AgusTupalle,AGUS TUPALLE,ImMESS10nante,,,,,,,,,
752998406973456384,Tue Jul 12 22:49:44 +0000 2016,"RT @History_Futbol: Todos hablan del golazo de Lionel Messi, pero no veo hablando de esta obra de arte de Zlatan Ibrahimovic. https://t.co/…",EsParaVosCCP,Es Azulgrana,History_Futbol,,,,,,,,,
752998406239444992,Tue Jul 12 22:49:44 +0000 2016,@Aitorek Porque TodosSomosBartomeu. igual que Messi.,Arximonkey,PGM Arximonkey,Aitorek,,,,,,,,,
752998411465523200,Tue Jul 12 22:49:45 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/oGXFcI5x3J,rhondabecerrao1,rhondabecer,,,,,http://wp.me/p7ylDY-2W,,,,,
752998423029248000,Tue Jul 12 22:49:48 +0000 2016,Venga no me jodas. https://t.co/9T5N7Bblgx,clara2425,✌CLARA✌,,,,,https://twitter.com/Vertele/status/752996583537532932,,,,,
752998430247624704,Tue Jul 12 22:49:50 +0000 2016,RT @conderuiz: COMUNICADO OFICIAL DEL F.C. BARCELONA: A partir de ahora todas las camisetas de #MESSI de Imitación o Falsas son LEGALES.,EliaMontero68,Elia,conderuiz,,MESSI,,,,,,,
752998427747880960,Tue Jul 12 22:49:49 +0000 2016,Las tiernas fotos de Lionel Messi y Antonella Roccuzzo con sus hijos en Ibiza https://t.co/C16BKADsVi https://t.co/jzhGmdXVHc,mundotkmcom,TKM Argentina,,,,,http://bit.ly/29uoNtG,,,,,
752998431002615808,Tue Jul 12 22:49:50 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/oVEmf0oDuP,caseyforldecas1,caseyforldec,,,,,http://wp.me/p7ylDY-2W,,,,,
752998432286072832,Tue Jul 12 22:49:50 +0000 2016,"RT @UberFootbalI: Highest Paid Players:

1. Ronaldo (21m)
2. Messi (20m)
3. Hulk (20m)
4. Neymar (19m)
5. Zlatan (16m)
6. Pellé (16m) https…",mssr99,M.Saif♚⓫™,UberFootbalI,,,,,,,,,
752998440334987265,Tue Jul 12 22:49:52 +0000 2016,chicharrica - el juez esta va para Messi y muchos otros  https://t.co/DUCBMPGl9v,Jorge_fruscio,Funky Crime,,,,,https://www.youtube.com/watch?v=2t9HcGzL8Ko&feature=share,,,,,
752998444596207616,Tue Jul 12 22:49:53 +0000 2016,"RT @History_Futbol: Todos hablan del golazo de Lionel Messi, pero no veo hablando de esta obra de arte de Zlatan Ibrahimovic. https://t.co/…",rigoZenteno,Rigo Zenteno,History_Futbol,,,,,,,,,
752998445250646016,Tue Jul 12 22:49:54 +0000 2016,RT @Pioche93: j'espere il va garder sa bebar messi,sevvalktr,sevv,Pioche93,,,,,,,,,
752998446001491968,Tue Jul 12 22:49:54 +0000 2016,"RT @ElChirincirco: MESSI, AVISTADO en las costas de PANAMÁ disfrazado de NAUFRAGO. ¿Está pensando OTRA VEZ en DEFRAUDAR? Lo DEBATIMOS. http…",jon_yoldi,Jon Yoldi,ElChirincirco,,,,,,,,,
752998449164025857,Tue Jul 12 22:49:54 +0000 2016,"RT @Sr_Dios: No, tu no eres Leo Messi. Tu robas 500€ y vas a la cárcel sin nadie que te defienda. Pringao.
#TodosSomosLeoMessi",ElenitaMiralles,Elena Miralles,Sr_Dios,,TodosSomosLeoMessi,,,,,,,
752998449692508160,Tue Jul 12 22:49:55 +0000 2016,Olha o melhor do mundo aonde tá  https://t.co/Xtckd57QIX,ediincosta,Edinho Costa,,,,,https://twitter.com/infosportsbr_/status/752997911869419520,,,,,
